"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
2022,10201,5030,59,11,4,7,4,"Mujer",25,1,4,3,NA,"Sí",5,7,"No","No","010201_005030_059_11_04",25
2022,10201,5030,59,11,5,7,4,"Hombre",27,1,4,4,NA,"Sí",4,7,"No","No","010201_005030_059_11_05",27
2022,10201,5030,59,11,8,7,4,"Hombre",18,6,4,5,1,"No",NA,NA,NA,"No","010201_005030_059_11_08",18
2022,10201,5030,59,11,11,7,4,"Mujer",26,6,4,3,NA,"No",NA,NA,NA,"No","010201_005030_059_11_11",26
2022,10701,5049,3,11,4,7,4,"Hombre",19,6,4,6,9,"No",NA,NA,NA,"Sí","010701_005049_003_11_04",19
2022,10701,5049,9,11,3,7,4,"Hombre",27,6,4,7,NA,"Sí",2,NA,"No","No","010701_005049_009_11_03",27
2022,10701,5049,24,11,3,7,4,"Hombre",22,6,4,6,1,"No",NA,NA,NA,"No","010701_005049_024_11_03",22
2022,10513,5138,28,11,4,4,7,"Mujer",28,6,4,6,NA,"Sí",5,7,"No","No","010513_005138_028_11_04",28
2022,10513,5138,28,11,6,4,7,"Hombre",22,1,4,5,9,"Sí",2,NA,"No","No","010513_005138_028_11_06",22
2022,10513,5138,118,11,2,4,7,"Mujer",26,1,4,6,NA,"Sí",5,7,"Sí","Sí","010513_005138_118_11_02",26
2022,10513,5138,120,11,3,4,7,"Hombre",21,6,4,3,1,"Sí",4,7,"Sí","No","010513_005138_120_11_03",21
2022,10513,5138,120,11,4,4,7,"Hombre",18,6,4,3,9,"Sí",4,7,"No","No","010513_005138_120_11_04",18
2022,10514,5140,26,11,3,4,8,"Hombre",27,6,4,6,NA,"Sí",4,7,"Sí","Sí","010514_005140_026_11_03",27
2022,10514,5140,26,11,4,4,8,"Hombre",23,6,4,8,1,"Sí",5,7,"No","Sí","010514_005140_026_11_04",23
NA,10514,5140,27,11,4,4,8,"Hombre",20,6,NA,NA,NA,NA,NA,NA,NA,NA,"010514_005140_027_11_04",20
NA,21801,5186,11,11,2,2,2,"Hombre",19,6,NA,NA,NA,NA,NA,NA,NA,NA,"021801_005186_011_11_02",19
2022,21801,5186,33,11,4,2,2,"Hombre",22,1,4,9,2,"Sí",4,2,"No","Sí","021801_005186_033_11_04",22
2022,21801,5186,33,11,5,2,2,"Mujer",22,1,4,9,1,"Sí",3,7,"No","Sí","021801_005186_033_11_05",22
2022,20101,5257,84,11,3,5,3,"Hombre",28,5,4,10,NA,"Sí",2,NA,"No","Sí","020101_005257_084_11_03",28
2022,40104,5480,42,11,3,6,1,"Hombre",18,6,4,6,1,"Sí",5,7,"No","Sí","040104_005480_042_11_03",18
2022,40104,5480,85,11,1,6,1,"Hombre",24,6,4,9,6,"Sí",3,7,"No","Sí","040104_005480_085_11_01",24
2022,40103,5511,124,11,3,6,1,"Hombre",23,6,4,9,6,"No",NA,NA,NA,"Sí","040103_005511_124_11_03",23
2022,40103,5511,124,11,4,6,1,"Mujer",18,6,4,9,6,"No",NA,NA,NA,"Sí","040103_005511_124_11_04",18
2022,40129,5559,48,11,5,6,1,"Mujer",28,6,4,10,NA,"Sí",3,5,"No","Sí","040129_005559_048_11_05",28
2022,40129,5559,171,11,3,6,1,"Hombre",25,6,4,10,NA,"No",NA,NA,NA,"Sí","040129_005559_171_11_03",25
