"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
"2023","010201","005027","018","11","02","7","4","Mujer","26","1","4","8",NA,"No",NA,NA,NA,"Sí","010201_005027_018_11_02",26
"2023","010201","005027","044","11","03","7","4","Hombre","26","6","4","9",NA,"No",NA,NA,NA,"Sí","010201_005027_044_11_03",26
"2023","010201","005027","044","11","04","7","4","Hombre","23","6","4","9",NA,"No",NA,NA,NA,"Sí","010201_005027_044_11_04",23
"2023","010201","005027","055","11","03","7","4","Mujer","24","6","4","8","3","Sí","3","7","Sí","Sí","010201_005027_055_11_03",24
"2023","010201","005027","055","11","04","7","4","Mujer","18","6","4","6",NA,"Sí","3","7","Sí","Sí","010201_005027_055_11_04",18
"2023","010201","005027","055","11","05","7","4","Mujer","26","6","4","8",NA,"Sí","5","7","No","Sí","010201_005027_055_11_05",26
"2023","010201","005030","037","11","02","7","4","Mujer","29","2","4","6",NA,"No",NA,NA,NA,"Sí","010201_005030_037_11_02",29
"2023","010201","005030","060","11","03","7","4","Mujer","25","6","4","8",NA,"Sí","2",NA,"No","Sí","010201_005030_060_11_03",25
"2023","010701","005039","114","11","02","7","4","Mujer","27","1","4","7",NA,"Sí","2",NA,"No","Sí","010701_005039_114_11_02",27
"2023","010701","005045","004","11","03","7","4","Mujer","23","6","4","9",NA,"Sí","3","7","No","Sí","010701_005045_004_11_03",23
"2023","010701","005045","013","11","03","7","4","Hombre","25","6","4","6",NA,"Sí","2",NA,"No","Sí","010701_005045_013_11_03",25
"2023","010701","005045","013","11","04","7","4","Hombre","22","6","4","7","1","Sí","2",NA,"No","Sí","010701_005045_013_11_04",22
"2023","010701","005045","040","11","02","7","4","Mujer","19","6","4","6","1","Sí","4","7","No","Sí","010701_005045_040_11_02",19
"2023","010701","005045","047","11","03","7","4","Hombre","18","6","4","6","3","Sí","2",NA,"No","Sí","010701_005045_047_11_03",18
"2023","010701","005045","056","11","02","7","4","Hombre","23","5","4","6","1","Sí","4","7","No","Sí","010701_005045_056_11_02",23
"2023","010502","005061","058","11","03","4","5","Mujer","18","6","4","7","6","Sí","5","7","No","Sí","010502_005061_058_11_03",18
"2023","010401","005076","015","11","03","7","7","Mujer","23","1","11","5","9","Sí","2",NA,"Sí","Sí","010401_005076_015_11_03",23
"2023","010401","005076","061","11","03","7","7","Mujer","18","6","11","6","1","Sí","5","7","No","Sí","010401_005076_061_11_03",18
