departamento,anio,tipo_pbi,pbi_miles_soles
Amazonas,2021,Constante_2007,3121807
Áncash,2021,Constante_2007,21462150
Apurímac,2021,Constante_2007,6585324
Arequipa,2021,Constante_2007,29961211
Ayacucho,2021,Constante_2007,5794896
Cajamarca,2021,Constante_2007,11484363
Cusco,2021,Constante_2007,20585691
Huancavelica,2021,Constante_2007,3491890
Huánuco,2021,Constante_2007,5969184
Ica,2021,Constante_2007,19610268
Junín,2021,Constante_2007,15940759
La Libertad,2021,Constante_2007,23532760
Lambayeque,2021,Constante_2007,13078870
Lima,2021,Constante_2007,241856205
Prov. Const. del Callao,2021,Constante_2007,22029738
Región Lima,2021,Constante_2007,17762988
Provincia de Lima,2021,Constante_2007,202063479
Loreto,2021,Constante_2007,8901232
Madre de Dios,2021,Constante_2007,1753366
Moquegua,2021,Constante_2007,9318701
Pasco,2021,Constante_2007,5271646
Piura,2021,Constante_2007,21147594
Puno,2021,Constante_2007,9700995
San Martín,2021,Constante_2007,6279871
Tacna,2021,Constante_2007,8873345
Tumbes,2021,Constante_2007,2748458
Ucayali,2021,Constante_2007,4569603
Valor Agregado Bruto,2021,Constante_2007,501040189
Derechos de Importación,2021,Constante_2007,3502047
Producto Bruto Interno,2021,Constante_2007,551898454
Amazonas,2021,Corriente,5321502
Áncash,2021,Corriente,36855269
Apurímac,2021,Corriente,15949543
Arequipa,2021,Corriente,47952500
Ayacucho,2021,Corriente,10292666
Cajamarca,2021,Corriente,20232510
Cusco,2021,Corriente,35301077
Huancavelica,2021,Corriente,6196633
Huánuco,2021,Corriente,9813195
Ica,2021,Corriente,40312036
Junín,2021,Corriente,25840219
La Libertad,2021,Corriente,38174782
Lambayeque,2021,Corriente,20366154
Lima,2021,Corriente,365333049
Prov. Const. del Callao,2021,Corriente,38686606
Región Lima,2021,Corriente,27111801
Provincia de Lima,2021,Corriente,299534642
Loreto,2021,Corriente,12775492
Madre de Dios,2021,Corriente,2888923
Moquegua,2021,Corriente,14456256
Pasco,2021,Corriente,9067325
Piura,2021,Corriente,35788901
Puno,2021,Corriente,17597816
San Martín,2021,Corriente,9802682
Tacna,2021,Corriente,12219957
Tumbes,2021,Corriente,4308726
Ucayali,2021,Corriente,7366994
Valor Agregado Bruto,2021,Corriente,804214207
Derechos de Importación,2021,Corriente,1366309
Producto Bruto Interno,2021,Corriente,878281499
