AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,ACTIVIDA,UBIGEO,DOMINIO,ESTRATO,CODINFOR,PERIODO,E1,E1A1,E1B,E2,E3,E4A1,E4B1,E4A2,E4B2,E4A3,E4B3,E4A4,E4B4,E4A5,E4B5,E5,E6A,E6B,E8A,E8B,E8C,E9A,E9A1,E13A,E13B,E13C,E14T,E15,E15GG,E16T,E17T,E18,E18GG,E19T,E20T,E21,E21GG,E22T,E23ST,E23T,E24T,E25ST1,E25ST2,E25ST3,E25ST4,E25T1,E25T2,E25T3,TICUEST04,TIPOCUESTIONARIO,FACTORA07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2021,02,005007,012,11,01,2,010101,4,4,01,1,3,8,3,1, , , , , , , , , , , ,3,0,5,1,0,0,5,0,0,2,0, , , , ,389,2, ,330, , , , ,16,16, ,0,59,0,59,0,16,43,2,2,86.8417587280273,68.2421153043003,007070,00
2021,01,005009,041,11,01,1,010101,4,4,01,1,3,8,3,10,1,2, ,2, ,1,2,2, ,2, ,5,18,0,2,0,1,12,0,0,2,0, , , , ,217,1,173,87, , , , ,15,15,0,0,303,0,303,0,15,288,2,2,222.030471801758,158.889737478721,007076,00
2021,01,005009,126,11,01,2,010101,4,4,01,1,3,7,4,3, , , , , , , , , , , ,6,3,0,1,0,0,6,0,0,2,3, , , , ,175,2, ,175,346,2, ,3,0,0, ,0,0,343,343,0,0,343,2,2,451.1884765625,282.053608613285,007076,00
2021,01,005009,126,11,02,1,010101,4,4,01,1,1, ,3,10,1,2, ,2, ,2, ,2, ,2, ,6,1,6,3,0,2,10,0,0,2,0, , , , ,4330,1,20,2598, , , , ,330,350,0,0,1752,0,1752,0,350,1402,2,2,453.985137939453,329.765823014836,007076,00
2021,11,005020,068,11,03,1,010101,4,4,03,1,3,8,4,2, , , , , , , , , , , ,3,0,8,1,0,0,8,0,0,0,3, , , , , , , , ,346,2, , ,0,0, ,0,0,346,346,0,0,346,2,2,125.563621520996,80.079609823302,007100,00
2021,11,005020,152,11,01,1,010101,4,4,01,1,1, ,3,7,2,2, ,2, ,1,1,2, ,2, ,4,23,0,1,0,0,12,0,0,2,0, , , , ,11691,1,5,8660, , , , ,1209,1209,0,0,3036,0,3036,0,1209,1827,2,2,56.3013191223145,35.0644340568386,007100,00
2021,11,005020,152,11,04,2,010101,4,4,04,1,1, ,4,9,1,2, ,2, ,1,2,2, ,2, ,6,12,0,1,0,0,12,0,0,0,3, , , , , , , , ,2500,2, ,1500,0,0,0,0,0,1000,1000,0,0,1000,2,2,169.138916015625,104.760791901377,007100,00
2021,08,005027,006,11,01,1,010201,7,4,02,3,3,8,4,3, , , , , , , , , , , ,5,0,10,1,0,0,10,0,0,0,3, , , , , , , , ,1516,2, ,323,33,33, ,0,0,1193,1193,0,33,1160,2,2,336.352020263672,230.133661303828,006599,00
2021,08,005027,006,11,02,1,010201,7,4,02,3,3,8,3,10,2,1,2,2, ,1,2,2, ,2, ,5,6,0,2,0,1,12,0,0,2,0, , , , ,650,1,650,433, , , , ,2,2,0,0,867,0,867,0,2,865,2,2,384.679412841797,239.377458416836,006599,00
2021,08,005027,006,11,02,2,010201,7,4,02,3,3,8,3,1, , , , , , , , , , , ,5,0,6,1,0,0,6,0,0,0,3, , , , , , , , ,1083,1,80,563,48,48, ,0,0,600,600,0,48,552,2,2,384.679412841797,239.377458416836,006599,00
