AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,ACTIVIDA,UBIGEO,DOMINIO,ESTRATO,CODINFOR,PERIODO,E24A,E24B,E24C,E24D,E24E1,E24E2,E24F,E24G,E24H,E24I,TIPOCUESTIONARIO,FACTORA07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2021,01,005009,041,11,01,1,010101,4,4,01,1,1,2,30,6,0,1,14,0,2,1,2,222.030471801758,158.889737478721,007076,00
2021,01,005009,126,11,02,1,010101,4,4,01,1,1,1,34,5,0,5,28,0,2,1,2,453.985137939453,329.765823014836,007076,00
2021,01,005009,126,11,02,1,010101,4,4,01,1,2,1,23,6,1,0,10,0,2,1,2,453.985137939453,329.765823014836,007076,00
2021,08,005027,006,11,02,1,010201,7,4,02,3,1,2,11,3,0,3,14,0,2,1,2,384.679412841797,239.377458416836,006599,00
2021,08,005027,018,11,01,1,010201,7,4,01,3,1,2,33,4,0,8,52,0,2,1,2,336.352020263672,230.133661303828,006599,00
2021,08,005027,018,11,01,1,010201,7,4,01,3,2,2,12,4,0,8,14,0,2,1,2,336.352020263672,230.133661303828,006599,00
2021,08,005027,018,11,01,2,010201,7,4,01,3,1,2,33,4,1,4,16,0,2,1,2,336.352020263672,230.133661303828,006599,00
2021,08,005027,055,11,02,2,010201,7,4,02,3,1,2,16,4,2,0,35,0,2,1,2,241.399475097656,140.577825618932,006599,00
2021,08,005027,055,11,02,2,010201,7,4,02,3,2,1,59,4,7,0,36,0,2,1,2,241.399475097656,140.577825618932,006599,00
2021,08,005027,055,11,02,2,010201,7,4,02,3,3,2,22,5,7,0,28,0,2,1,2,241.399475097656,140.577825618932,006599,00
2021,08,005027,055,11,02,2,010201,7,4,02,3,4,2,16,4,1,0,15,0,2,1,2,241.399475097656,140.577825618932,006599,00
2021,01,005030,030,11,01,1,010201,7,4,01,2,1,2,44,3,0,5,26,0,2,1,2,212.706741333008,189.508917084954,006618,00
2021,01,005030,030,11,01,1,010201,7,4,01,2,2,2,17,4,0,5,36,0,2,1,2,212.706741333008,189.508917084954,006618,00
2021,01,005030,047,11,02,1,010201,7,4,01,2,1,1,65,3,0,3,12,0,2,1,2,138.486129760742,136.078190849419,006618,00
2021,01,005035,075,11,02,1,010206,7,5,02,2,1,2,36,4,0,3,8,0,2,1,2,244.764053344727,145.080220224977,006635,00
2021,01,005035,089,11,01,1,010206,7,5,01,2,1,2,10,3,0,2,14,0,2,1,2,373.862335205078,238.109407960313,006635,00
